Chile,  Population size (1-year)     Last modified: 11-Feb-2009, MPv5 (May07)

Year     Age      Female         Male        Total
1992       0     137041.15    143510.36    280551.51
1992       1     133975.23    140086.17    274061.40
1992       2     141420.03    147408.44    288828.47
1992       3     146206.44    152530.37    298736.81
1992       4     148345.95    155414.21    303760.16
1992       5     126736.51    131385.77    258122.28
1992       6     122054.05    125575.92    247629.97
1992       7     119631.17    123685.16    243316.33
1992       8     119717.35    123228.42    242945.77
1992       9     125570.54    129065.02    254635.56
1992      10     128341.93    132630.79    260972.72
1992      11     120978.70    125911.17    246889.87
1992      12     118794.59    121904.42    240699.01
1992      13     115676.69    118325.42    234002.11
1992      14     116370.82    120840.21    237211.03
1992      15     113442.34    116906.59    230348.93
1992      16     118368.71    122117.45    240486.16
1992      17     124083.87    128477.05    252560.92
1992      18     125667.84    129236.03    254903.87
1992      19     122061.32    121054.33    243115.65
1992      20     121453.85    119198.14    240651.99
1992      21     120276.59    119711.00    239987.59
1992      22     120499.33    119628.42    240127.75
1992      23     123052.96    120117.25    243170.21
1992      24     124185.09    120598.06    244783.15
1992      25     123722.72    118938.93    242661.65
1992      26     125584.76    120583.24    246168.00
1992      27     126760.13    122264.36    249024.49
1992      28     124133.72    120382.67    244516.39
1992      29     124652.09    119708.70    244360.79
1992      30     122894.22    117544.64    240438.86
1992      31     114288.55    109813.80    224102.35
1992      32     118461.80    112755.64    231217.44
1992      33     109875.18    107538.34    217413.52
1992      34     103649.44     99505.86    203155.30
1992      35     102150.90     96607.91    198758.81
1992      36      98453.00     92576.66    191029.66
1992      37      94995.09     89159.34    184154.43
1992      38      92072.21     87214.44    179286.65
1992      39      85849.04     81843.66    167692.70
1992      40      82335.56     76794.57    159130.13
1992      41      77958.93     75647.14    153606.07
1992      42      85623.15     81550.40    167173.55
1992      43      74220.65     69893.29    144113.94
1992      44      69376.50     64391.57    133768.07
1992      45      68317.01     63061.86    131378.87
1992      46      69096.68     66240.08    135336.76
1992      47      67991.07     64399.45    132390.52
1992      48      64992.59     61503.03    126495.62
1992      49      62094.03     58042.61    120136.64
1992      50      61092.13     55765.17    116857.30
1992      51      56262.73     54227.75    110490.48
1992      52      60183.62     56623.73    116807.35
1992      53      51650.71     47028.87     98679.58
1992      54      50593.96     44920.76     95514.72
1992      55      48393.47     42915.73     91309.20
1992      56      46841.60     43217.97     90059.57
1992      57      45347.26     41323.42     86670.68
1992      58      45465.06     41190.20     86655.26
1992      59      46591.95     39980.56     86572.51
1992      60      48477.63     39765.47     88243.10
1992      61      44037.03     39966.82     84003.85
1992      62      49591.17     42863.69     92454.86
1992      63      44027.46     37677.56     81705.02
1992      64      42681.45     37655.28     80336.73
1992      65      40400.23     35035.67     75435.90
1992      66      34093.85     28838.76     62932.61
1992      67      32464.21     27731.29     60195.50
1992      68      29464.07     24072.07     53536.14
1992      69      27500.78     22328.20     49828.98
1992      70      28558.32     22393.60     50951.92
1992      71      25023.84     20791.75     45815.59
1992      72      27607.44     21411.86     49019.30
1992      73      23591.64     17745.44     41337.08
1992      74      23108.03     16931.61     40039.64
1992      75      22384.15     16139.20     38523.35
1992      76      20291.34     14605.95     34897.29
1992      77      18754.02     13551.04     32305.06
1992      78      18518.34     12747.12     31265.46
1992      79      16341.95     10894.99     27236.94
1992      80      15908.58     10420.09     26328.67
1992      81      14338.08      9111.60     23449.68
1992      82      12593.54      7654.75     20248.29
1992      83      10979.28      6499.56     17478.84
1992      84       9617.35      5495.93     15113.28
1992      85       8506.35      4457.75     12964.10
1992      86       7183.81      3527.15     10710.96
1992      87       5862.42      2865.70      8728.12
1992      88       4865.40      2310.68      7176.08
1992      89       4005.45      1808.71      5814.16
1992      90       3227.36      1410.98      4638.34
1992      91       2535.51      1077.26      3612.77
1992      92       1849.18       737.61      2586.79
1992      93       1349.52       472.48      1822.00
1992      94       1025.43       324.87      1350.30
1992      95        748.92       238.12       987.04
1992      96        528.66       171.12       699.78
1992      97        363.69        96.83       460.52
1992      98        237.73        66.92       304.65
1992      99        154.68        49.05       203.73
1992     100        101.21        29.25       130.46
1992     101         67.83        16.59        84.42
1992     102         45.55        14.85        60.40
1992     103         26.25        11.98        38.23
1992     104         17.61         5.93        23.54
1992     105         11.15         2.20        13.35
1992     106          6.03         0.75         6.78
1992     107          3.14         0.26         3.40
1992     108          1.22         0.00         1.22
1992     109          0.70         0.00         0.70
1992     110+         0.00         0.00         0.00
1993       0     135971.66    142020.80    277992.46
1993       1     136877.99    143181.78    280059.77
1993       2     134474.63    140540.54    275015.17
1993       3     141478.48    147385.88    288864.36
1993       4     145585.50    151825.19    297410.69
1993       5     147453.46    154379.73    301833.19
1993       6     127318.90    131843.36    259162.26
1993       7     122076.46    125736.14    247812.60
1993       8     119673.93    123895.23    243569.16
1993       9     119835.96    123535.22    243371.18
1993      10     125515.72    128933.76    254449.48
1993      11     128172.18    132258.13    260430.31
1993      12     120907.26    125768.24    246675.50
1993      13     118762.05    121890.24    240652.29
1993      14     115634.82    118179.26    233814.08
1993      15     116045.06    120276.36    236321.42
1993      16     113450.11    116588.67    230038.78
1993      17     118448.00    121802.57    240250.57
1993      18     124081.62    128156.14    252237.76
1993      19     125459.09    128805.42    254264.51
1993      20     122129.05    121070.33    243199.38
1993      21     121561.64    119296.78    240858.42
1993      22     120073.98    119353.79    239427.77
1993      23     120602.19    119576.13    240178.32
1993      24     122866.14    119992.03    242858.17
1993      25     123880.01    120262.81    244142.82
1993      26     123635.96    118813.68    242449.64
1993      27     125736.92    120666.07    246402.99
1993      28     126921.47    122280.20    249201.67
1993      29     124308.59    120574.75    244883.34
1993      30     124654.33    119714.58    244368.91
1993      31     122849.70    117359.17    240208.87
1993      32     114424.00    109957.09    224381.09
1993      33     118953.78    113261.89    232215.67
1993      34     109779.56    107186.99    216966.55
1993      35     103214.19     99056.29    202270.48
1993      36     101880.97     96350.09    198231.06
1993      37      98231.41     92408.80    190640.21
1993      38      94872.86     89138.50    184011.36
1993      39      91795.73     87051.82    178847.55
1993      40      85668.64     81637.25    167305.89
1993      41      82219.66     76656.37    158876.03
1993      42      77888.86     75599.17    153488.03
1993      43      85458.96     81421.57    166880.53
1993      44      74136.20     69836.58    143972.78
1993      45      69377.27     64437.90    133815.17
1993      46      68079.37     62894.18    130973.55
1993      47      68767.29     65931.03    134698.32
1993      48      67596.71     64017.08    131613.79
1993      49      64696.88     61179.66    125876.54
1993      50      61874.69     57671.48    119546.17
1993      51      60863.26     55365.68    116228.94
1993      52      55915.68     53774.65    109690.33
1993      53      59837.26     56193.10    116030.36
1993      54      51443.91     46783.52     98227.43
1993      55      50467.69     44791.03     95258.72
1993      56      48549.41     42940.00     91489.41
1993      57      46546.39     42817.63     89364.02
1993      58      45071.79     40964.14     86035.93
1993      59      44961.44     40516.99     85478.43
1993      60      46022.10     39368.78     85390.88
1993      61      47910.37     39182.31     87092.68
1993      62      43601.72     39322.43     82924.15
1993      63      49023.92     42141.25     91165.17
1993      64      43493.06     36940.40     80433.46
1993      65      42030.15     36744.06     78774.21
1993      66      39635.99     34126.88     73762.87
1993      67      33503.07     28085.24     61588.31
1993      68      31826.61     26928.84     58755.45
1993      69      28944.60     23418.67     52363.27
1993      70      26900.12     21578.57     48478.69
1993      71      27872.56     21539.94     49412.50
1993      72      24346.78     19899.13     44245.91
1993      73      26786.76     20431.47     47218.23
1993      74      22826.97     16846.34     39673.31
1993      75      22292.17     16033.27     38325.44
1993      76      21505.03     15181.76     36686.79
1993      77      19481.42     13683.25     33164.67
1993      78      17914.23     12626.22     30540.45
1993      79      17571.58     11765.01     29336.59
1993      80      16808.79     10779.79     27588.58
1993      81      14912.99      9515.01     24428.00
1993      82      13315.51      8228.10     21543.61
1993      83      11597.31      6830.78     18428.09
1993      84      10028.98      5721.03     15750.01
1993      85       8714.80      4788.78     13503.58
1993      86       7640.35      3833.96     11474.31
1993      87       6371.34      2983.60      9354.94
1993      88       5133.44      2399.90      7533.34
1993      89       4203.91      1915.06      6118.97
1993      90       3389.55      1495.94      4885.49
1993      91       2671.36      1141.03      3812.39
1993      92       2083.12       847.14      2930.26
1993      93       1493.58       579.95      2073.53
1993      94       1069.29       354.59      1423.88
1993      95        797.88       237.74      1035.62
1993      96        551.14       181.31       732.45
1993      97        381.20       128.60       509.80
1993      98        267.98        70.12       338.10
1993      99        170.46        45.92       216.38
1993     100        104.27        31.34       135.61
1993     101         67.05        18.01        85.06
1993     102         44.83         8.70        53.53
1993     103         31.78         9.50        41.28
1993     104         17.40         7.98        25.38
1993     105         10.42         3.56        13.98
1993     106          5.54         1.77         7.31
1993     107          2.58         0.75         3.33
1993     108          1.06         0.26         1.32
1993     109          0.00         0.00         0.00
1993     110+         0.00         0.00         0.00
1994       0     133162.33    139440.94    272603.27
1994       1     135757.96    141601.38    277359.34
1994       2     137052.20    143254.76    280306.96
1994       3     135294.09    141371.71    276665.80
1994       4     141625.73    147467.07    289092.80
1994       5     144720.01    150870.37    295590.38
1994       6     146177.78    152900.41    299078.19
1994       7     128178.29    132505.03    260683.32
1994       8     122131.83    125975.73    248107.56
1994       9     119752.53    124219.64    243972.17
1994      10     120019.18    123995.99    244015.17
1994      11     125439.70    128755.94    254195.64
1994      12     127933.24    131741.99    259675.23
1994      13     120814.16    125579.55    246393.71
1994      14     118721.62    121877.64    240599.26
1994      15     115583.05    117982.58    233565.63
1994      16     115581.49    119472.14    235053.63
1994      17     113478.29    116139.50    229617.79
1994      18     118591.70    121364.53    239956.23
1994      19     124099.13    127712.42    251811.55
1994      20     125172.73    128206.04    253378.77
1994      21     122251.40    121137.52    243388.92
1994      22     121747.86    119524.55    241272.41
1994      23     119824.97    118926.07    238751.04
1994      24     120794.43    119570.12    240364.55
1994      25     122621.94    119859.27    242481.21
1994      26     123461.30    119838.98    243300.28
1994      27     123543.44    118706.33    242249.77
1994      28     125985.08    120847.86    246832.94
1994      29     127189.02    122373.16    249562.18
1994      30     124593.52    120919.14    245512.66
1994      31     124670.68    119800.86    244471.54
1994      32     122813.69    117182.22    239995.91
1994      33     114649.32    110264.71    224914.03
1994      34     119684.75    114093.53    233778.28
1994      35     109668.28    106765.01    216433.29
1994      36     102626.94     98505.46    201132.40
1994      37     101529.56     96065.49    197595.05
1994      38      97933.66     92245.36    190179.02
1994      39      94735.94     89192.91    183928.85
1994      40      91448.57     86887.46    178336.03
1994      41      85433.75     81403.88    166837.63
1994      42      82086.67     76538.34    158625.01
1994      43      77851.49     75643.53    153495.02
1994      44      85293.98     81355.15    166649.13
1994      45      74074.71     69832.10    143906.81
1994      46      69425.41     64603.59    134029.00
1994      47      67783.29     62781.30    130564.59
1994      48      68336.78     65582.16    133918.94
1994      49      67066.01     63558.09    130624.10
1994      50      64334.10     60837.33    125171.43
1994      51      61618.10     57306.26    118924.36
1994      52      60604.83     54941.09    115545.92
1994      53      55506.66     53244.39    108751.05
1994      54      59424.11     55674.33    115098.44
1994      55      51239.52     46522.62     97762.14
1994      56      50384.37     44752.42     95136.79
1994      57      48887.29     43128.21     92015.50
1994      58      46240.28     42362.10     88602.38
1994      59      44797.60     40604.32     85401.92
1994      60      44361.34     39726.80     84088.14
1994      61      45314.12     38700.64     84014.76
1994      62      47205.98     38604.43     85810.41
1994      63      43147.11     38696.85     81843.96
1994      64      48407.69     41394.78     89802.47
1994      65      42920.56     36151.65     79072.21
1994      66      41267.53     35712.77     76980.30
1994      67      38733.59     33070.33     71803.92
1994      68      32890.93     27268.03     60158.96
1994      69      31140.77     26085.72     57226.49
1994      70      28444.27     22789.20     51233.47
1994      71      26289.89     20853.79     47143.68
1994      72      27150.07     20687.96     47838.03
1994      73      23658.18     18981.57     42639.75
1994      74      25904.06     19401.67     45305.73
1994      75      22025.06     15894.73     37919.79
1994      76      21435.16     15055.89     36491.05
1994      77      20554.11     14221.97     34776.08
1994      78      18643.90     12804.13     31448.03
1994      79      17079.15     11705.78     28784.93
1994      80      18074.45     11756.47     29830.92
1994      81      15784.59      9841.62     25626.21
1994      82      13870.87      8586.67     22457.54
1994      83      12244.50      7304.86     19549.36
1994      84      10623.40      5990.89     16614.29
1994      85       9101.76      4967.81     14069.57
1994      86       7801.97      4106.31     11908.28
1994      87       6778.45      3233.61     10012.06
1994      88       5574.94      2515.21      8090.15
1994      89       4403.54      1979.25      6382.79
1994      90       3545.97      1532.07      5078.04
1994      91       2838.09      1191.46      4029.55
1994      92       2182.97       894.95      3077.92
1994      93       1669.33       659.69      2329.02
1994      94       1185.80       451.36      1637.16
1994      95        823.07       270.43      1093.50
1994      96        605.38       178.43       783.81
1994      97        414.75       125.87       540.62
1994      98        280.98        86.64       367.62
1994      99        187.95        47.60       235.55
1994     100        115.63        30.01       145.64
1994     101         69.20        25.10        94.30
1994     102         45.68        13.46        59.14
1994     103         33.52         4.80        38.32
1994     104         21.70         5.95        27.65
1994     105         10.40         4.27        14.67
1994     106          7.34         1.70         9.04
1994     107          3.81         0.58         4.39
1994     108          1.62         0.00         1.62
1994     109          0.77         0.00         0.77
1994     110+         0.00         0.00         0.00
1995       0     132577.95    138010.53    270588.48
1995       1     132859.37    138995.41    271854.78
1995       2     135771.70    141464.22    277235.92
1995       3     137288.53    143379.60    280668.13
1995       4     136139.97    142215.46    278355.43
1995       5     141773.44    147552.08    289325.52
1995       6     143853.90    149912.29    293766.19
1995       7     144910.40    151429.17    296339.57
1995       8     129040.52    133180.03    262220.55
1995       9     122185.64    126223.14    248408.78
1995      10     119832.16    124547.84    244380.00
1995      11     120203.93    124456.84    244660.77
1995      12     125367.76    128575.01    253942.77
1995      13     127693.54    131221.38    258914.92
1995      14     120717.26    125383.70    246100.96
1995      15     118669.92    121859.77    240529.69
1995      16     115517.48    117770.75    233288.23
1995      17     115124.39    118631.25    233755.64
1995      18     113514.55    115664.59    229179.14
1995      19     118740.36    120929.42    239669.78
1995      20     124126.93    127271.37    251398.30
1995      21     124895.21    127614.69    252509.90
1995      22     122379.22    121207.44    243586.66
1995      23     121932.39    119740.75    241673.14
1995      24     119572.06    118515.20    238087.26
1995      25     120982.06    119589.06    240571.12
1995      26     122380.48    119741.27    242121.75
1995      27     123056.64    119424.60    242481.24
1995      28     123454.16    118603.32    242057.48
1995      29     126230.38    121029.58    247259.96
1995      30     127453.36    122454.67    249908.03
1995      31     124877.22    121283.16    246160.38
1995      32     124691.47    119900.10    244591.57
1995      33     122778.60    116987.00    239765.60
1995      34     114872.07    110557.84    225429.91
1995      35     120411.46    114903.54    235315.00
1995      36     109555.85    106319.38    215875.23
1995      37     102027.60     97943.03    199970.63
1995      38     101163.09     95768.85    196931.94
1995      39      97630.37     92063.59    189693.96
1995      40      94598.19     89239.70    183837.89
1995      41      91091.21     86711.83    177803.04
1995      42      85187.52     81142.58    166330.10
1995      43      81954.21     76413.49    158367.70
1995      44      77785.84     75697.16    153483.00
1995      45      85081.79     81264.08    166345.87
1995      46      73984.30     69780.42    143764.72
1995      47      69443.96     64717.57    134161.53
1995      48      67459.42     62619.30    130078.72
1995      49      67895.97     65180.20    133076.17
1995      50      66519.14     63025.93    129545.07
1995      51      63945.69     60438.08    124383.77
1995      52      61361.65     56885.33    118246.98
1995      53      60335.60     54459.28    114794.88
1995      54      55081.17     52661.65    107742.82
1995      55      59004.17     55098.76    114102.93
1995      56      50992.97     46220.33     97213.30
1995      57      50243.56     44694.09     94937.65
1995      58      49191.24     43293.97     92485.21
1995      59      45909.97     41850.69     87760.66
1995      60      44492.95     40185.23     84678.18
1995      61      43715.34     38883.85     82599.19
1995      62      44542.40     37984.48     82526.88
1995      63      46467.04     38003.74     84470.78
1995      64      42679.91     38076.13     80756.04
1995      65      47784.33     40671.79     88456.12
1995      66      42344.10     35358.08     77702.18
1995      67      40507.74     34614.02     75121.76
1995      68      37826.85     31944.77     69771.62
1995      69      32212.48     26438.72     58651.20
1995      70      30402.51     25231.45     55633.96
1995      71      27937.70     22117.05     50054.75
1995      72      25671.73     20057.49     45729.22
1995      73      26431.05     19796.22     46227.27
1995      74      22971.50     18065.95     41037.45
1995      75      25011.74     18383.30     43395.04
1995      76      21227.08     14983.91     36210.99
1995      77      20652.93     14175.82     34828.75
1995      78      19679.73     13317.42     32997.15
1995      79      17815.66     11910.78     29726.44
1995      80      18190.71     12097.22     30287.93
1995      81      16999.85     10765.73     27765.58
1995      82      14767.43      8984.47     23751.90
1995      83      12875.24      7725.10     20600.34
1995      84      11259.77      6490.12     17749.89
1995      85       9664.74      5291.59     14956.33
1995      86       8201.24      4309.99     12511.23
1995      87       6950.02      3513.51     10463.53
1995      88       5960.16      2744.24      8704.40
1995      89       4827.04      2097.40      6924.44
1995      90       3745.99      1626.51      5372.50
1995      91       2989.96      1234.67      4224.63
1995      92       2355.50       943.16      3298.66
1995      93       1791.82       703.82      2495.64
1995      94       1350.38       509.41      1859.79
1995      95        933.50       350.03      1283.53
1995      96        630.77       206.62       837.39
1995      97        465.70       131.11       596.81
1995      98        324.37        89.75       414.12
1995      99        211.70        61.32       273.02
1995     100        131.28        33.29       164.57
1995     101         77.88        22.46       100.34
1995     102         49.92        17.10        67.02
1995     103         31.98         9.33        41.31
1995     104         20.76         4.35        25.11
1995     105         12.93         4.71        17.64
1995     106          5.50         2.27         7.77
1995     107          3.71         0.94         4.65
1995     108          1.59         0.58         2.17
1995     109          0.31         0.00         0.31
1995     110+         0.00         0.00         0.00
1996       0     128693.91    134359.44    263053.35
1996       1     132130.25    137479.60    269609.85
1996       2     132711.27    138765.67    271476.94
1996       3     135809.30    141375.82    277185.12
1996       4     137526.01    143520.95    281046.96
1996       5     136988.61    143067.03    280055.64
1996       6     141928.24    147653.86    289582.10
1996       7     142994.30    148970.20    291964.50
1996       8     143646.87    149957.47    293604.34
1996       9     129904.77    133850.14    263754.91
1996      10     122238.73    126475.73    248714.46
1996      11     119906.89    124886.13    244793.02
1996      12     120387.24    124926.04    245313.28
1996      13     125293.75    128399.09    253692.84
1996      14     127446.75    130687.02    258133.77
1996      15     120613.40    125157.09    245770.49
1996      16     118623.49    121814.18    240437.67
1996      17     115461.27    117547.57    233008.84
1996      18     114666.28    117793.82    232460.10
1996      19     113548.78    115180.80    228729.58
1996      20     118877.67    120464.04    239341.71
1996      21     124141.52    126810.07    250951.59
1996      22     124614.71    126995.35    251610.06
1996      23     122503.47    121252.79    243756.26
1996      24     122118.18    119950.99    242069.17
1996      25     119320.36    118104.51    237424.87
1996      26     121169.85    119603.52    240773.37
1996      27     122131.30    119622.14    241753.44
1996      28     122634.99    119010.95    241645.94
1996      29     123361.12    118505.84    241866.96
1996      30     126475.45    121224.26    247699.71
1996      31     127723.13    122538.79    250261.92
1996      32     125160.81    121626.71    246787.52
1996      33     124704.06    119982.37    244686.43
1996      34     122730.46    116795.91    239526.37
1996      35     115065.97    110855.40    225921.37
1996      36     121111.73    115717.16    236828.89
1996      37     109423.94    105869.73    215293.67
1996      38     101413.31     97366.67    198779.98
1996      39     100789.23     95455.87    196245.10
1996      40      97326.78     91855.36    189182.14
1996      41      94455.67     89251.71    183707.38
1996      42      90730.70     86496.48    177227.18
1996      43      84940.48     80852.54    165793.02
1996      44      81801.31     76251.11    158052.42
1996      45      77711.43     75692.03    153403.46
1996      46      84879.46     81118.60    165998.06
1996      47      73900.43     69705.60    143606.03
1996      48      69469.00     64803.65    134272.65
1996      49      67136.34     62406.52    129542.86
1996      50      67441.10     64722.61    132163.71
1996      51      65972.75     62469.65    128442.40
1996      52      63562.18     59996.38    123558.56
1996      53      61088.01     56397.64    117485.65
1996      54      60036.20     53939.39    113975.59
1996      55      54618.81     52038.40    106657.21
1996      56      58546.69     54466.19    113012.88
1996      57      50726.22     45862.25     96588.47
1996      58      50097.23     44563.25     94660.48
1996      59      49481.40     43383.01     92864.41
1996      60      45541.32     41276.53     86817.85
1996      61      44141.01     39682.72     83823.73
1996      62      43046.10     37983.51     81029.61
1996      63      43741.87     37183.02     80924.89
1996      64      45649.21     37285.31     82934.52
1996      65      42146.65     37347.78     79494.43
1996      66      47121.25     39797.47     86918.72
1996      67      41703.12     34424.95     76128.07
1996      68      39692.51     33477.26     73169.77
1996      69      36875.58     30795.63     67671.21
1996      70      31514.05     25500.06     57014.11
1996      71      29615.99     24277.34     53893.33
1996      72      27331.17     21401.87     48733.04
1996      73      24964.51     19264.61     44229.12
1996      74      25608.51     18859.32     44467.83
1996      75      22215.97     17070.22     39286.19
1996      76      24071.43     17328.05     41399.48
1996      77      20366.44     14089.72     34456.16
1996      78      19752.80     13291.74     33044.54
1996      79      18680.45     12353.85     31034.30
1996      80      18491.07     12459.18     30950.25
1996      81      17153.97     11092.27     28246.24
1996      82      15882.75      9804.68     25687.43
1996      83      13712.14      8079.93     21792.07
1996      84      11862.10      6870.15     18732.25
1996      85      10243.75      5707.55     15951.30
1996      86       8717.61      4586.13     13303.74
1996      87       7311.50      3682.30     10993.80
1996      88       6114.43      2966.35      9080.78
1996      89       5186.90      2294.49      7481.39
1996      90       4138.15      1732.69      5870.84
1996      91       3158.43      1305.87      4464.30
1996      92       2467.44       982.18      3449.62
1996      93       1916.82       742.64      2659.46
1996      94       1445.51       530.57      1976.08
1996      95       1076.54       374.30      1450.84
1996      96        742.03       257.44       999.47
1996      97        483.10       152.78       635.88
1996      98        338.20        98.06       436.26
1996      99        235.96        63.18       299.14
1996     100        153.36        40.86       194.22
1996     101         89.56        25.83       115.39
1996     102         53.00        17.25        70.25
1996     103         33.00        11.20        44.20
1996     104         21.93         6.54        28.47
1996     105         14.45         2.72        17.17
1996     106          7.59         1.68         9.27
1996     107          2.91         0.00         2.91
1996     108          1.94         0.00         1.94
1996     109          0.61         0.00         0.61
1996     110+         0.00         0.00         0.00
1997       0     127588.32    133761.51    261349.83
1997       1     128348.86    133800.15    262149.01
1997       2     131880.16    137163.61    269043.77
1997       3     132639.07    138601.21    271240.28
1997       4     135865.11    141315.24    277180.35
1997       5     137782.52    143684.83    281467.35
1997       6     137849.96    143930.52    281780.48
1997       7     142087.84    147756.35    289844.19
1997       8     142141.57    148024.62    290166.19
1997       9     142386.78    148485.97    290872.75
1997      10     130768.72    134520.01    265288.73
1997      11     122292.06    126722.90    249014.96
1997      12     119984.61    125214.20    245198.81
1997      13     120571.04    125376.43    245947.47
1997      14     125219.74    128196.24    253415.98
1997      15     127206.71    130138.81    257345.52
1997      16     120515.27    124928.83    245444.10
1997      17     118573.52    121754.87    240328.39
1997      18     115392.43    117299.50    232691.93
1997      19     114200.37    116933.11    231133.48
1997      20     113584.73    114671.92    228256.65
1997      21     119020.83    119969.36    238990.19
1997      22     124160.55    126308.78    250469.33
1997      23     124330.64    126362.45    250693.09
1997      24     122630.02    121303.06    243933.08
1997      25     122309.73    120166.08    242475.81
1997      26     119072.27    117671.89    236744.16
1997      27     121355.47    119602.86    240958.33
1997      28     121877.72    119523.69    241401.41
1997      29     122213.35    118621.83    240835.18
1997      30     123264.97    118386.39    241651.36
1997      31     126716.08    121387.38    248103.46
1997      32     127975.94    122629.09    250605.03
1997      33     125424.71    121977.13    247401.84
1997      34     124694.66    120067.07    244761.73
1997      35     122673.57    116599.23    239272.80
1997      36     115279.32    111132.61    226411.93
1997      37     121826.58    116518.08    238344.66
1997      38     109285.20    105409.46    214694.66
1997      39     100791.84     96780.42    197572.26
1997      40     100410.53     95147.09    195557.62
1997      41      97014.82     91655.81    188670.63
1997      42      94313.91     89244.61    183558.52
1997      43      90366.68     86266.40    176633.08
1997      44      84681.63     80564.97    165246.60
1997      45      81650.89     76070.48    157721.37
1997      46      77639.62     75668.24    153307.86
1997      47      84661.97     80973.76    165635.73
1997      48      73802.72     69607.77    143410.49
1997      49      69482.26     64862.13    134344.39
1997      50      66805.45     62190.63    128996.08
1997      51      66963.78     64241.65    131205.43
1997      52      65383.31     61866.84    127250.15
1997      53      63142.44     59526.15    122668.59
1997      54      60786.33     55879.28    116665.61
1997      55      59733.76     53376.91    113110.67
1997      56      54156.73     51367.27    105524.00
1997      57      58085.17     53806.95    111892.12
1997      58      50484.93     45495.33     95980.26
1997      59      49964.16     44418.12     94382.28
1997      60      49732.80     43466.90     93199.70
1997      61      45147.74     40699.06     85846.80
1997      62      43800.48     39166.44     82966.92
1997      63      42365.58     37019.96     79385.54
1997      64      42930.09     36329.46     79259.55
1997      65      44844.08     36525.77     81369.85
1997      66      41582.68     36540.93     78123.61
1997      67      46405.19     38900.42     85305.61
1997      68      41038.93     33512.91     74551.84
1997      69      38853.86     32301.04     71154.90
1997      70      35884.86     29603.60     65488.46
1997      71      30762.54     24544.97     55307.51
1997      72      28784.93     23264.80     52049.73
1997      73      26716.50     20637.16     47353.66
1997      74      24264.14     18434.11     42698.25
1997      75      24801.51     17906.97     42708.48
1997      76      21433.72     16093.67     37527.39
1997      77      23088.82     16292.79     39381.61
1997      78      19466.59     13143.60     32610.19
1997      79      18811.80     12310.78     31122.58
1997      80      17659.04     11394.65     29053.69
1997      81      17431.80     11496.70     28928.50
1997      82      16090.52     10129.21     26219.73
1997      83      14773.29      8876.46     23649.75
1997      84      12600.40      7235.68     19836.08
1997      85      10756.96      6058.23     16815.19
1997      86       9239.52      4961.86     14201.38
1997      87       7803.64      3951.71     11755.35
1997      88       6427.53      3136.98      9564.51
1997      89       5297.16      2500.34      7797.50
1997      90       4437.07      1907.35      6344.42
1997      91       3512.52      1416.44      4928.96
1997      92       2630.16      1041.57      3671.73
1997      93       2011.25       781.75      2793.00
1997      94       1549.41       579.13      2128.54
1997      95       1142.10       392.46      1534.56
1997      96        838.35       283.29      1121.64
1997      97        575.18       193.91       769.09
1997      98        357.16       110.40       467.56
1997      99        247.06        72.85       319.91
1997     100        176.50        44.84       221.34
1997     101        116.10        27.07       143.17
1997     102         64.35        16.04        80.39
1997     103         36.95        12.01        48.96
1997     104         23.62         8.76        32.38
1997     105         14.41         4.46        18.87
1997     106          8.60         1.56        10.16
1997     107          4.25         1.03         5.28
1997     108          1.33         0.00         1.33
1997     109          0.89         0.00         0.89
1997     110+         0.28         0.00         0.28
1998       0     125176.32    131563.72    256740.04
1998       1     126780.40    132665.48    259445.88
1998       2     128162.83    133462.95    261625.78
1998       3     131629.00    136875.23    268504.23
1998       4     132558.78    138448.30    271007.08
1998       5     135920.07    141252.31    277172.38
1998       6     138038.89    143838.52    281877.41
1998       7     138717.87    144788.62    283506.49
1998       8     142248.11    147850.54    290098.65
1998       9     141282.73    147077.76    288360.49
1998      10     141115.09    147013.24    288128.33
1998      11     131619.89    135184.94    266804.83
1998      12     122336.45    126966.64    249303.09
1998      13     120059.96    125541.33    245601.29
1998      14     120753.26    125830.31    246583.57
1998      15     125138.13    128002.61    253140.74
1998      16     126953.88    129596.89    256550.77
1998      17     120403.34    124700.97    245104.31
1998      18     118513.60    121698.66    240212.26
1998      19     115328.42    117051.79    232380.21
1998      20     113740.94    116053.94    229794.88
1998      21     113615.92    114163.33    227779.25
1998      22     119164.07    119492.71    238656.78
1998      23     124175.86    125828.08    250003.94
1998      24     124043.83    125738.55    249782.38
1998      25     122758.39    121352.54    244110.93
1998      26     122498.82    120381.41    242880.23
1998      27     118818.08    117252.18    236070.26
1998      28     121539.80    119599.15    241138.95
1998      29     121622.98    119395.29    241018.27
1998      30     121789.29    118219.94    240009.23
1998      31     123168.25    118283.56    241451.81
1998      32     126953.20    121544.21    248497.41
1998      33     128229.89    122679.54    250909.43
1998      34     125692.56    122291.58    247984.14
1998      35     124688.07    120147.41    244835.48
1998      36     122612.63    116403.08    239015.71
1998      37     115477.95    111393.63    226871.58
1998      38     122525.59    117298.55    239824.14
1998      39     109156.67    104951.41    214108.08
1998      40     100189.01     96195.15    196384.16
1998      41     100030.97     94810.86    194841.83
1998      42      96688.51     91418.24    188106.75
1998      43      94155.50     89216.56    183372.06
1998      44      89990.01     86014.80    176004.81
